Van der Pol Oscillator – Simulation Results
-----------------------------------------
mu = 1, dt = 0.01, final time = 20

t	 y(real)
364	 -1.341476
365	 -1.333038
366	 -1.324539
367	 -1.315979
368	 -1.307343
369	 -1.298645
370	 -1.289886
371	 -1.281052
372	 -1.272156
373	 -1.263184
374	 -1.254150
375	 -1.245041
376	 -1.235855
377	 -1.226608
378	 -1.217285
379	 -1.207886
380	 -1.198410
381	 -1.188858
382	 -1.179230
383	 -1.169525
384	 -1.159744
385	 -1.149887
386	 -1.139954
387	 -1.129929
388	 -1.119827
389	 -1.109634
390	 -1.099365
391	 -1.089005
392	 -1.078568
393	 -1.068039
394	 -1.057419
395	 -1.046707
396	 -1.035919
397	 -1.025024
398	 -1.014038
399	 -1.002960
400	 -0.991791
401	 -0.980530
402	 -0.969162
403	 -0.957703
404	 -0.946136
405	 -0.934464
406	 -0.922684
407	 -0.910812
408	 -0.898834
409	 -0.886734
410	 -0.874527
411	 -0.862213
412	 -0.849777
413	 -0.837234
414	 -0.824570
415	 -0.811783
416	 -0.798889
417	 -0.785873
418	 -0.772736
419	 -0.759460
420	 -0.746063
421	 -0.732529
422	 -0.718872
423	 -0.705078
424	 -0.691147
425	 -0.677078
426	 -0.662872
427	 -0.648529
428	 -0.634048
429	 -0.619415
430	 -0.604630
431	 -0.589706
432	 -0.574631
433	 -0.559402
434	 -0.544006
435	 -0.528458
436	 -0.512756
437	 -0.496887
438	 -0.480850
439	 -0.464645
440	 -0.448273
441	 -0.431732
442	 -0.415024
443	 -0.398132
444	 -0.381073
445	 -0.363831
446	 -0.346405
447	 -0.328796
448	 -0.311005
449	 -0.293015
450	 -0.274841
451	 -0.256470
452	 -0.237915
453	 -0.219162
454	 -0.200211
455	 -0.181061
456	 -0.161713
457	 -0.142166
458	 -0.122406
459	 -0.102448
460	 -0.082291
461	 -0.061920
462	 -0.041336
463	 -0.020554
464	 0.000443
465	 0.021652
466	 0.043060
467	 0.064682
468	 0.086517
469	 0.108566
470	 0.130814
471	 0.153275
472	 0.175949
473	 0.198822
474	 0.221893
475	 0.245178
476	 0.268661
477	 0.292328
478	 0.316193
479	 0.340256
480	 0.364502
481	 0.388931
482	 0.413528
483	 0.438309
484	 0.463257
485	 0.488358
486	 0.513626
487	 0.539032
488	 0.564575
489	 0.590256
490	 0.616058
491	 0.641983
492	 0.668015
493	 0.694138
494	 0.720352
495	 0.746643
496	 0.772995
497	 0.799393
498	 0.825836
499	 0.852310
500	 0.878799
501	 0.905289
502	 0.931763
503	 0.958206
504	 0.984604
505	 1.010941
506	 1.037201
507	 1.063354
508	 1.089401
509	 1.115326
510	 1.141113
511	 1.166733
512	 1.192184
513	 1.217438
514	 1.242477
515	 1.267288
516	 1.291855
517	 1.316162
518	 1.340195
519	 1.363922
520	 1.387344
521	 1.410446
522	 1.433197
523	 1.455597
524	 1.477631
525	 1.499283
526	 1.520538
527	 1.541397
528	 1.561829
529	 1.581833
530	 1.601410
531	 1.620529
532	 1.639206
533	 1.657410
534	 1.675156
535	 1.692429
536	 1.709229
537	 1.725540
538	 1.741364
539	 1.756699
540	 1.771561
541	 1.785934
542	 1.799820
543	 1.813217
544	 1.826126
545	 1.838562
546	 1.850510
547	 1.861984
548	 1.872986
549	 1.883530
550	 1.893616
551	 1.903244
552	 1.912430
553	 1.921173
554	 1.929489
555	 1.937378
556	 1.944855
557	 1.951920
558	 1.958588
559	 1.964859
560	 1.970749
561	 1.976257
562	 1.981415
563	 1.986206
564	 1.990646
565	 1.994751
566	 1.998535
567	 2.001984
568	 2.005127
569	 2.007965
570	 2.010513
571	 2.012772
572	 2.014755
573	 2.016464
574	 2.017914
575	 2.019104
576	 2.020050
577	 2.020752
578	 2.021225
579	 2.021484
580	 2.021515
581	 2.021347
582	 2.020966
583	 2.020386
584	 2.019623
585	 2.018677
586	 2.017548
587	 2.016251
588	 2.014786
589	 2.013153
590	 2.011368
591	 2.009430
592	 2.007339
593	 2.005112
594	 2.002747
595	 2.000244
596	 1.997620
597	 1.994873
598	 1.992004
599	 1.989014
600	 1.985916
601	 1.982697
602	 1.979370
603	 1.975952
604	 1.972427
605	 1.968811
606	 1.965088
607	 1.961273
608	 1.957367
609	 1.953384
610	 1.949310
611	 1.945160
612	 1.940918
613	 1.936600
614	 1.932205
615	 1.927734
616	 1.923203
617	 1.918594
618	 1.913910
619	 1.909164
620	 1.904358
621	 1.899475
622	 1.894531
623	 1.889526
624	 1.884460
625	 1.879333
626	 1.874161
627	 1.868927
628	 1.863632
629	 1.858276
630	 1.852875
631	 1.847412
632	 1.841904
633	 1.836334
634	 1.830719
635	 1.825058
636	 1.819336
637	 1.813568
638	 1.807755
639	 1.801895
640	 1.795990
641	 1.790039
642	 1.784042
643	 1.778000
644	 1.771896
645	 1.765747
646	 1.759552
647	 1.753326
648	 1.747055
649	 1.740738
650	 1.734375
651	 1.727966
652	 1.721512
653	 1.715012
654	 1.708466
655	 1.701874
656	 1.695236
657	 1.688553
658	 1.681839
659	 1.675079
660	 1.668274
661	 1.661423
662	 1.654526
663	 1.647583
664	 1.640594
665	 1.633560
666	 1.626480
667	 1.619370
668	 1.612213
669	 1.605011
670	 1.597763
671	 1.590469
672	 1.583130
673	 1.575745
674	 1.568314
675	 1.560837
676	 1.553314
677	 1.545746
678	 1.538116
679	 1.530441
680	 1.522720
681	 1.514954
682	 1.507141
683	 1.499283
684	 1.491364
685	 1.483398
686	 1.475388
687	 1.467316
688	 1.459198
689	 1.451035
690	 1.442810
691	 1.434540
692	 1.426208
693	 1.417831
694	 1.409393
695	 1.400909
696	 1.392365
697	 1.383759
698	 1.375092
699	 1.366379
700	 1.357605
701	 1.348770
702	 1.339874
703	 1.330917
704	 1.321899
705	 1.312820
706	 1.303680
707	 1.294479
708	 1.285217
709	 1.275879
710	 1.266479
711	 1.257019
712	 1.247482
713	 1.237885
714	 1.228210
715	 1.218475
716	 1.208664
717	 1.198776
718	 1.188812
719	 1.178772
720	 1.168671
721	 1.158478
722	 1.148209
723	 1.137863
724	 1.127441
725	 1.116943
726	 1.106354
727	 1.095688
728	 1.084930
729	 1.074097
730	 1.063171
731	 1.052155
732	 1.041046
733	 1.029846
734	 1.018555
735	 1.007172
736	 0.995697
737	 0.984131
738	 0.972458
739	 0.960693
740	 0.948822
741	 0.936844
742	 0.924774
743	 0.912598
744	 0.900314
745	 0.887924
746	 0.875412
747	 0.862793
748	 0.850067
749	 0.837219
750	 0.824249
751	 0.811157
752	 0.797943
753	 0.784607
754	 0.771149
755	 0.757568
756	 0.743851
757	 0.730011
758	 0.716034
759	 0.701920
760	 0.687668
761	 0.673279
762	 0.658752
763	 0.644089
764	 0.629272
765	 0.614319
766	 0.599213
767	 0.583954
768	 0.568542
769	 0.552963
770	 0.537231
771	 0.521347
772	 0.505295
773	 0.489075
774	 0.472687
775	 0.456131
776	 0.439407
777	 0.422501
778	 0.405426
779	 0.388168
780	 0.370728
781	 0.353104
782	 0.335297
783	 0.317307
784	 0.299118
785	 0.280746
786	 0.262177
787	 0.243408
788	 0.224457
789	 0.205292
790	 0.185928
791	 0.166367
792	 0.146606
793	 0.126633
794	 0.106461
795	 0.086075
796	 0.065475
797	 0.044678
798	 0.023666
799	 0.002441
800	 -0.018997
801	 -0.040649
802	 -0.062515
803	 -0.084595
804	 -0.106888
805	 -0.129379
806	 -0.152084
807	 -0.175003
808	 -0.198135
809	 -0.221466
810	 -0.244995
811	 -0.268738
812	 -0.292679
813	 -0.316818
814	 -0.341141
815	 -0.365662
816	 -0.390366
817	 -0.415253
818	 -0.440308
819	 -0.465530
820	 -0.490921
821	 -0.516464
822	 -0.542160
823	 -0.567993
824	 -0.593964
825	 -0.620056
826	 -0.646271
827	 -0.672592
828	 -0.699005
829	 -0.725510
830	 -0.752090
831	 -0.778732
832	 -0.805420
833	 -0.832153
834	 -0.858902
835	 -0.885666
836	 -0.912430
837	 -0.939178
838	 -0.965881
839	 -0.992538
840	 -1.019135
841	 -1.045654
842	 -1.072067
843	 -1.098373
844	 -1.124542
845	 -1.150558
846	 -1.176407
847	 -1.202072
848	 -1.227539
849	 -1.252792
850	 -1.277802
851	 -1.302567
852	 -1.327057
853	 -1.351257
854	 -1.375168
855	 -1.398758
856	 -1.422012
857	 -1.444916
858	 -1.467453
859	 -1.489609
860	 -1.511368
861	 -1.532730
862	 -1.553680
863	 -1.574203
864	 -1.594284
865	 -1.613922
866	 -1.633102
867	 -1.651825
868	 -1.670074
869	 -1.687836
870	 -1.705124
871	 -1.721924
872	 -1.738235
873	 -1.754059
874	 -1.769379
875	 -1.784210
876	 -1.798553
877	 -1.812393
878	 -1.825745
879	 -1.838608
880	 -1.850983
881	 -1.862869
882	 -1.874283
883	 -1.885223
884	 -1.895691
885	 -1.905701
886	 -1.915253
887	 -1.924347
888	 -1.932999
889	 -1.941223
890	 -1.949020
891	 -1.956390
892	 -1.963364
893	 -1.969925
894	 -1.976105
895	 -1.981888
896	 -1.987305
897	 -1.992355
898	 -1.997040
899	 -2.001389
900	 -2.005402
901	 -2.009079
902	 -2.012436
903	 -2.015488
904	 -2.018234
905	 -2.020676
906	 -2.022842
907	 -2.024734
908	 -2.026352
909	 -2.027710
910	 -2.028809
911	 -2.029663
912	 -2.030289
913	 -2.030685
914	 -2.030853
915	 -2.030807
916	 -2.030563
917	 -2.030106
918	 -2.029465
919	 -2.028625
920	 -2.027603
921	 -2.026413
922	 -2.025055
923	 -2.023529
924	 -2.021835
925	 -2.019989
926	 -2.017990
927	 -2.015854
928	 -2.013580
929	 -2.011169
930	 -2.008621
931	 -2.005951
932	 -2.003159
933	 -2.000244
934	 -1.997223
935	 -1.994080
936	 -1.990829
937	 -1.987473
938	 -1.984024
939	 -1.980469
940	 -1.976822
941	 -1.973083
942	 -1.969254
943	 -1.965332
944	 -1.961319
945	 -1.957230
946	 -1.953064
947	 -1.948807
948	 -1.944473
949	 -1.940079
950	 -1.935608
951	 -1.931061
952	 -1.926453
953	 -1.921768
954	 -1.917023
955	 -1.912201
956	 -1.907318
957	 -1.902374
958	 -1.897369
959	 -1.892303
960	 -1.887192
961	 -1.882019
962	 -1.876785
963	 -1.871506
964	 -1.866165
965	 -1.860764
966	 -1.855316
967	 -1.849823
968	 -1.844269
969	 -1.838669
970	 -1.833023
971	 -1.827332
972	 -1.821579
973	 -1.815781
974	 -1.809937
975	 -1.804047
976	 -1.798111
977	 -1.792130
978	 -1.786102
979	 -1.780029
980	 -1.773911
981	 -1.767746
982	 -1.761536
983	 -1.755280
984	 -1.748978
985	 -1.742645
986	 -1.736267
987	 -1.729843
988	 -1.723373
989	 -1.716858
990	 -1.710297
991	 -1.703705
992	 -1.697067
993	 -1.690384
994	 -1.683655
995	 -1.676880
996	 -1.670059
997	 -1.663208
998	 -1.656311
999	 -1.649368
1000	 -1.642380
1001	 -1.635345
1002	 -1.628265
1003	 -1.621155
1004	 -1.613998
1005	 -1.606796
1006	 -1.599548
1007	 -1.592255
1008	 -1.584915
1009	 -1.577530
1010	 -1.570099
1011	 -1.562622
1012	 -1.555099
1013	 -1.547531
1014	 -1.539917
1015	 -1.532257
1016	 -1.524551
1017	 -1.516800
1018	 -1.508987
1019	 -1.501129
1020	 -1.493225
1021	 -1.485275
1022	 -1.477264
1023	 -1.469208
1024	 -1.461105
1025	 -1.452942
1026	 -1.444733
1027	 -1.436478
1028	 -1.428162
1029	 -1.419800
1030	 -1.411377
1031	 -1.402893
1032	 -1.394363
1033	 -1.385773
1034	 -1.377121
1035	 -1.368423
1036	 -1.359665
1037	 -1.350845
1038	 -1.341965
1039	 -1.333023
1040	 -1.324020
1041	 -1.314957
1042	 -1.305832
1043	 -1.296646
1044	 -1.287399
1045	 -1.278091
1046	 -1.268707
